Metric,Value,Source
Symbol,9988.HK,System
Current Price,120.9,Market
Target Price,185.32016,Analyst Aggregation
PE Ratio,19.009434,Fundamentals
ROE,0.092159994,Fundamentals
Upside,53.28%,Calculation
