Metric,Value,Source
Symbol,NU,System
Current Price,12.65,Market
Target Price,18.14762,Analyst Aggregation
PE Ratio,19.453848,Fundamentals
ROE,0.30055,Fundamentals
Upside,43.46%,Calculation
