Metric,Value,Source
Symbol,V,System
Current Price,322.39,Market
Target Price,398.83362,Analyst Aggregation
PE Ratio,28.082754,Fundamentals
ROE,0.60349,Fundamentals
Upside,23.71%,Calculation
