Metric,Value,Source
Symbol,9988.HK,System
Current Price,98.95,Market
Target Price,182.85301,Analyst Aggregation
PE Ratio,15.5337515,Fundamentals
ROE,0.092159994,Fundamentals
Upside,84.79%,Calculation
