Metric,Value,Source
Symbol,AAPL,System
Current Price,298.07,Market
Target Price,314.4238,Analyst Aggregation
PE Ratio,36.07826,Fundamentals
ROE,1.4147099,Fundamentals
Upside,5.49%,Calculation
