Metric,Value,Source
Symbol,HSCS,System
Current Price,2.82,Market
Target Price,10.0,Analyst Aggregation
PE Ratio,0,Fundamentals
ROE,-3.82323,Fundamentals
Upside,254.61%,Calculation
