Metric,Value,Source
Symbol,PRIM,System
Current Price,79.0,Market
Target Price,143.7857,Analyst Aggregation
PE Ratio,17.401766,Fundamentals
ROE,0.15854,Fundamentals
Upside,82.01%,Calculation
