Metric,Value,Source
Symbol,688322.SS,System
Current Price,126.06,Market
Target Price,132.363,Analyst Aggregation
PE Ratio,370.7647,Fundamentals
ROE,0.04522,Fundamentals
Upside,5.00%,Calculation
